clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,reference,recognized
bench/clips/synthetic/hi/hi_01.webm,hi,hi-to-sat,4.05,True,1536.0,483.0,1.0,988.0,1472.0,glossary,piper,131116,,0.0,आज हम एक से दस तक गिनना सीखेंगे।,आज हम एक से दस तक गिनना सीखेंगे
bench/clips/synthetic/hi/hi_02.webm,hi,hi-to-sat,4.04,False,1675.8,611.0,898.0,158.0,1667.0,model,piper,125484,,0.028,अपनी उंगलियां दिखाओ और मेरे साथ गिनो।,अपनी उँंगलियाँ दिखाओ और मेरे साथ गिनो
bench/clips/synthetic/hi/hi_03.webm,hi,hi-to-sat,4.58,False,1551.8,680.0,708.0,155.0,1542.0,model,piper,113708,,0.045,अब तुम्हारे सामने पांच पत्थर हैं। उन्हें गिनो।,अब तुम्हारे सामने पाँच पत्थर हैं उन्हें गििन
bench/clips/synthetic/hi/hi_04.webm,hi,hi-to-sat,3.64,False,1441.8,601.0,3.0,827.0,1432.0,glossary,piper,102956,,0.0,यहाँ कितने पत्थर हैं? बताओ।,यहाँ कितने पत्थर हैं बताओ
bench/clips/synthetic/hi/hi_05.webm,hi,hi-to-sat,3.95,False,1602.6,612.0,66.0,910.0,1588.0,glossary,piper,134188,,0.0,यह गोल है। यह एक वृत्त है।,यह गोल है यह एक वृत्त है
bench/clips/synthetic/hi/hi_06.webm,hi,hi-to-sat,4.12,False,1574.8,618.0,37.0,905.0,1560.0,glossary,piper,148524,,0.0,यह चौकोर है। इसके चार कोने हैं।,यह चौकोर है इसके चार कोने हैं
bench/clips/synthetic/hi/hi_07.webm,hi,hi-to-sat,3.68,False,1584.6,611.0,823.0,139.0,1573.0,model,piper,102956,,0.038,अपने आसपास गोल चीज़ें ढूंढो।,अपने आसपास गोद चीज़ें ढूंढो
bench/clips/synthetic/hi/hi_08.webm,hi,hi-to-sat,2.82,False,1035.7,504.0,3.0,518.0,1025.0,glossary,piper,64044,,0.0,यह कौन सा आकार है?,यह कौन सा आकार है
bench/clips/synthetic/hi/hi_09.webm,hi,hi-to-sat,4.66,False,2081.8,840.0,1033.0,196.0,2068.0,model,piper,149036,,0.029,आज हम जोड़ना सीखेंगे। एक और एक मिलाओ।,आज हम जोड़ना सीखेंगे एक और एक मिलाव
bench/clips/synthetic/hi/hi_10.webm,hi,hi-to-sat,4.2,False,1841.7,669.0,975.0,187.0,1831.0,model,piper,136748,,0.0,दो आम और तीन आम मिलाओ। कुल कितने हुए?,दो आम और तीन आम मिलाओ कुल कितने हुए
bench/clips/synthetic/hi/hi_11.webm,hi,hi-to-sat,3.63,False,1543.6,626.0,3.0,905.0,1534.0,glossary,piper,110124,,0.0,अब तुम एक जोड़ का सवाल बनाओ।,अब तुम एक जोड़ का सवाल बनाओ
bench/clips/synthetic/hi/hi_12.webm,hi,hi-to-sat,3.13,False,1220.4,615.0,3.0,591.0,1209.0,glossary,piper,69164,,0.0,तीन और चार कितने होते हैं?,तीन और चार कितने होते हैं
bench/clips/synthetic/hi/hi_13.webm,hi,hi-to-sat,3.65,False,1673.4,697.0,3.0,963.0,1663.0,glossary,piper,146988,,0.0,यह शब्द है माँ। इसे पढ़ो।,यह शब्द है माँ इसे पढ़ो
bench/clips/synthetic/hi/hi_14.webm,hi,hi-to-sat,3.34,False,1521.2,581.0,784.0,148.0,1512.0,model,piper,102444,,0.0,इस शब्द को तीन बार पढ़ो।,इस शब्द को तीन बार पढ़ो
bench/clips/synthetic/hi/hi_15.webm,hi,hi-to-sat,3.56,False,1599.4,623.0,3.0,961.0,1587.0,glossary,piper,137260,,0.0,यह शब्द क्या है? पढ़कर बताओ।,यह शब्द क्या है पढ़कर बताओ
bench/clips/synthetic/hi/hi_16.webm,hi,hi-to-sat,4.74,False,1606.4,702.0,3.0,888.0,1593.0,glossary,piper,143404,,0.0,आज हम घटाना सीखेंगे। दस में से तीन घटाओ।,आज हम घटाना सीखेंगे दस में से तीन घटाओ
bench/clips/synthetic/hi/hi_17.webm,hi,hi-to-sat,4.87,False,1623.5,585.0,27.0,1000.0,1612.0,glossary,piper,171052,,0.0,सात पत्थर लो। तीन हटा दो। अब कितने बचे?,सात पत्थर लो तीन हटा दो अब कितने बचे
bench/clips/synthetic/hi/hi_18.webm,hi,hi-to-sat,3.94,False,1636.0,656.0,3.0,966.0,1625.0,glossary,piper,122924,,0.0,आठ में से पांच घटाओ। उत्तर क्या है?,आठ में से पाँच घटाओ उत्तर क्या है
bench/clips/synthetic/hi/hi_19.webm,hi,hi-to-sat,2.71,False,1353.0,557.0,685.0,100.0,1341.0,model,piper,60460,,0.2,सुप्रभात बच्चों।,सुप्रभात बचो
bench/clips/synthetic/hi/hi_20.webm,hi,hi-to-sat,3.4,False,1456.1,588.0,713.0,146.0,1446.0,model,piper,106028,,0.0,कृपया अपनी जगह पर बैठ जाओ।,कृपया अपनी जगह पर बैठ जाओ
bench/clips/synthetic/hi/hi_21.webm,hi,hi-to-sat,3.01,False,1407.4,447.0,828.0,124.0,1398.0,model,piper,85036,,0.0,मेरी बात ध्यान से सुनो।,मेरी बात ध्यान से सुनो
bench/clips/synthetic/hi/hi_22.webm,hi,hi-to-sat,2.49,False,1352.8,504.0,635.0,204.0,1343.0,model,piper,50732,,0.1,शोर मत करो।,शूर मत करो
bench/clips/synthetic/hi/hi_23.webm,hi,hi-to-sat,2.97,False,1401.7,560.0,723.0,108.0,1391.0,model,piper,81452,,0.0,अपना हाथ उठाओ।,अपना हाथ उठाओ
