clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/hi/fleurs-hi_00000_1766.wav,hi,hi-to-sat,9.12,True,7110.9,3789.0,1461.0,1679.0,6929.0,model,piper,388140,,0.026,0.042,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है
bench/clips/public/hi/fleurs-hi_00015_1992.wav,hi,hi-to-sat,8.88,False,3317.9,1701.0,1029.0,571.0,3301.0,model,piper,258092,,0.0,0.0,विशेष रूप से सवाना पर बेहतरीन अफ़्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफ़ारी शब्द का उपयोग किया जाता है,विशेष रूप से सवाना पर बेहतरीन अफ्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफारी शब्द का उपयोग किया जाता है
bench/clips/public/hi/fleurs-hi_00026_1957.wav,hi,hi-to-sat,4.08,False,1975.7,771.0,862.0,327.0,1960.0,model,piper,161324,,0.333,0.5,उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा,उन्होंने नक को राजनीतिक बकसर मुखतापना कहा
bench/clips/public/hi/fleurs-hi_00027_1802.wav,hi,hi-to-sat,5.46,False,2086.0,736.0,783.0,548.0,2068.0,model,piper,214060,,0.0,0.0,इंटरनेट लोगों और अंतर-परस्पर संचार दोनों के तत्वों को मिलाता है,इंटरनेट लोगों और अंतर परस्पर संचार दोनों के तत्वों को मिलाता है
bench/clips/public/hi/fleurs-hi_00033_1910.wav,hi,hi-to-sat,7.02,False,2106.1,862.0,859.0,368.0,2088.0,model,piper,211500,,0.014,0.071,ऐसा माना जाता है कि पेरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं,ऐसा माना जाता है कि पैरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं
bench/clips/public/hi/fleurs-hi_00034_1721.wav,hi,hi-to-sat,8.22,False,3511.4,965.0,1672.0,857.0,3493.0,model,piper,637996,,0.278,0.368,1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,एक हज़ार नौ सौ तिरसठ में बादध बनने के बाद मौसमी बाढ़ जो पूरे नदी में थलचट फैला देगी वह रुक गई थी
bench/clips/public/hi/fleurs-hi_00050_1958.wav,hi,hi-to-sat,7.68,False,2772.4,905.0,1062.0,789.0,2756.0,model,piper,399404,,0.0,0.0,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है
bench/clips/public/hi/fleurs-hi_00053_1966.wav,hi,hi-to-sat,9.66,False,2866.9,1188.0,915.0,747.0,2851.0,model,piper,442412,,0.009,0.053,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मारटेली की प्रतिक्रिया स्वरूप हुआ था
bench/clips/public/hi/fleurs-hi_00059_1772.wav,hi,hi-to-sat,6.36,False,2208.4,846.0,936.0,411.0,2193.0,model,piper,219692,,0.014,0.056,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ़ एक लेबल के रूप में जोड़ा गया था,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ एक लेवल के रूप में जोड़ा गया था
bench/clips/public/hi/fleurs-hi_00060_1803.wav,hi,hi-to-sat,9.72,False,3165.5,1201.0,1291.0,657.0,3148.0,model,piper,308268,,0.0,0.0,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी
