hindi,santali
सुप्रभात बच्चों।,ᱥᱮᱛᱟᱜ ᱡᱚᱦᱟᱨ ᱜᱤᱫᱽᱨᱟᱹᱠᱚ᱾
आज हम एक नया पाठ पढ़ेंगे।,ᱛᱮᱦᱮᱧ ᱟᱵᱚ ᱢᱤᱫᱴᱟᱹᱝ ᱱᱟᱶᱟ ᱯᱟᱴᱷ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣᱟ᱾
कृपया अपनी जगह पर बैठ जाएं।,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱟᱯᱮᱭᱟᱜ ᱡᱟᱭᱜᱟ ᱨᱮ ᱫᱩᱲᱩᱵ ᱯᱮ᱾
क्या सब लोग तैयार हैं?,ᱪᱮᱫ ᱡᱚᱛᱚ ᱦᱚᱲ ᱯᱮ ᱥᱟᱯᱲᱟᱣ ᱟᱠᱟᱱᱟ?
मेरी बात ध्यान से सुनो।,ᱤᱧᱟᱜ ᱠᱟᱛᱷᱟ ᱢᱚᱱᱮ ᱞᱟᱜᱟᱣ ᱠᱟᱛᱮ ᱟᱸᱡᱚᱢ ᱯᱮ᱾
शोर मत करो।,ᱟᱞᱚ ᱯᱮ ᱜᱚᱞᱢᱟᱞᱟ᱾
अपना हाथ उठाएं।,ᱟᱯᱮᱭᱟᱜ ᱛᱤ ᱛᱩᱞ ᱯᱮ᱾
बहुत अच्छा!,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ!
शाबाश!,ᱥᱟᱵᱟᱥ!
"एक, दो, तीन, चार, पांच।","ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮ, ᱯᱩᱱ, ᱢᱚᱬᱮ᱾"
मेरे साथ गिनो।,ᱤᱧ ᱥᱟᱶᱛᱮ ᱞᱮᱠᱷᱟᱭ ᱯᱮ᱾
तुम्हारे पास कितनी किताबें हैं?,ᱟᱢ ᱴᱷᱮᱱ ᱛᱤᱱᱟᱹᱜ ᱯᱚᱛᱚᱵ ᱢᱮᱱᱟᱜᱼᱟ?
यह संख्या क्या है?,ᱱᱚᱶᱟ ᱮᱞ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?
पांच के बाद क्या आता है?,ᱢᱚᱬᱮ ᱛᱟᱭᱚᱢ ᱪᱮᱫ ᱦᱤᱡᱩᱜᱼᱟ?
अपनी उंगलियों पर गिनो।,ᱟᱢᱟᱜ ᱠᱟᱹᱴᱩᱵ ᱨᱮ ᱞᱮᱠᱷᱟᱭ ᱢᱮ᱾
आज हम जोड़ना सीखेंगे।,ᱛᱮᱦᱮᱧ ᱟᱵᱚ ᱥᱮᱞᱮᱫ ᱵᱚᱱ ᱪᱮᱫᱚᱜᱼᱟ᱾
दो और तीन को जोड़ने पर क्या मिलता है?,ᱵᱟᱨ ᱟᱨ ᱯᱮ ᱥᱮᱞᱮᱫ ᱞᱮᱠᱷᱟᱱ ᱪᱮᱫ ᱧᱟᱢᱚᱜᱼᱟ?
"अगर मेरे पास दो आम हैं, और तुम मुझे तीन आम और दो, तो मेरे पास कितने आम होंगे?","ᱡᱩᱫᱤ ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨᱭᱟ ᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ, ᱟᱨ ᱟᱢ ᱤᱧ ᱯᱮᱭᱟ ᱩᱞ ᱮᱢᱟᱹᱧᱟ, ᱮᱱᱠᱷᱟᱱ ᱤᱧ ᱴᱷᱮᱱ ᱛᱤᱱᱟᱹᱜ ᱩᱞ ᱦᱩᱭᱩᱜᱼᱟ?"
सही जवाब है पांच।,ᱥᱚᱦᱤ ᱛᱮᱞᱟ ᱫᱚ ᱢᱚᱬᱮ ᱠᱟᱱᱟ᱾
इन दोनों संख्याओं को जोड़ो।,ᱱᱚᱶᱟ ᱵᱟᱱᱟᱨ ᱮᱞ ᱥᱮᱞᱮᱫ ᱢᱮ᱾
कुल मिलाकर कितने हुए?,ᱡᱚᱛᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱛᱤᱱᱟᱹᱜ ᱦᱩᱭᱮᱱᱟ?
यह जोड़ का चिन्ह है।,ᱱᱚᱶᱟ ᱫᱚ ᱥᱮᱞᱮᱫ ᱪᱤᱱᱦᱟᱹ ᱠᱟᱱᱟ᱾
आज हम घटाना सीखेंगे।,ᱛᱮᱦᱮᱧ ᱟᱵᱚ ᱵᱷᱮᱜᱟᱨ ᱵᱚᱱ ᱪᱮᱫᱚᱜᱼᱟ᱾
पांच में से दो घटाने पर क्या बचेगा?,ᱢᱚᱬᱮ ᱠᱷᱚᱱ ᱵᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱞᱮᱠᱷᱟᱱ ᱪᱮᱫ ᱥᱟᱨᱮᱡᱚᱜᱼᱟ?
तुम्हारे पास चार पेन हैं। एक पेन मुझे दे दो।,ᱟᱢ ᱴᱷᱮᱱ ᱯᱩᱱᱭᱟ ᱠᱚᱞᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ᱾ ᱢᱤᱫᱴᱟᱹᱝ ᱠᱚᱞᱚᱢ ᱤᱧ ᱮᱢᱟᱹᱧ ᱢᱮ᱾
अब तुम्हारे पास कितने पेन बचे?,ᱱᱤᱛᱚᱜ ᱟᱢ ᱴᱷᱮᱱ ᱛᱤᱱᱟᱹᱜ ᱠᱚᱞᱚᱢ ᱥᱟᱨᱮᱡ ᱮᱱᱟ?
यह घटाने का चिन्ह है।,ᱱᱚᱶᱟ ᱫᱚ ᱵᱷᱮᱜᱟᱨ ᱪᱤᱱᱦᱟᱹ ᱠᱟᱱᱟ᱾
इसका जवाब कौन देगा?,ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱛᱮᱞᱟ ᱚᱠᱚᱭ ᱮᱢᱟᱭ?
