set,clip,words,chunks,asr_ms,nmt_ms,tts_ms,full_ms,first_audio_ms,last_audio_ms,stalls,chunk_vs_whole_chrf,recognized,whole,chunked
public,bench/clips/public/hi/fleurs-hi_00000_1766.wav,23,3,2475,1352,1106,4934,4308,6706,0,57.4,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,"ᱠᱤᱪᱷᱩᱠ ᱢᱳᱞᱤᱠᱩᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱱᱤᱭᱩᱠᱞᱤᱭᱩᱴ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ, ᱚᱱᱟᱠᱚ ᱠᱚᱢ ᱥᱮ ᱵᱟᱝ ᱜᱷᱟᱹᱞ ᱠᱟᱛᱮ ᱜᱮ ᱵᱨᱟᱠ ᱦᱳᱭᱳᱜᱼᱟ ᱾",ᱠᱤᱪᱷᱩᱠ ᱢᱳᱞᱤᱠᱩᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱚᱵᱷᱟᱵᱽ ᱟᱱ ᱱᱤᱭᱩᱠᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱱᱚᱶᱟ ᱾ | ᱡᱟᱦᱟᱸ ᱫᱚ ᱩᱱᱠᱩ ᱢᱩᱫᱨᱮ ᱟᱹᱰᱤ ᱠᱚᱢ ᱥᱮ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾ | ᱦᱟᱹᱱ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱵᱨᱟᱠ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00015_1992.wav,25,4,2238,2353,2452,7043,3432,6563,0,8.1,विशेष रूप से सवाना पर बेहतरीन अफ्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफारी शब्द का उपयोग किया जाता है,ᱥᱟᱯᱷᱟᱨᱤ ᱥᱟᱯᱷᱟᱹᱨᱤ ᱥᱟᱯᱷᱚᱨᱤ ᱥᱟᱯᱷᱮᱨᱤ ᱥᱟᱯᱷᱷᱟᱨᱤ ᱥᱟᱯᱷᱛᱨᱤ ᱥᱟᱯᱷᱚᱛᱤ ᱥᱟᱯᱷᱛᱤ ᱥᱟᱯᱷᱤᱛᱤ ᱥᱟᱯᱷᱤᱛ ᱥᱟᱯᱷᱴᱤ ᱥᱟᱯᱷᱛᱚ ᱥᱟᱯᱷᱛᱟ ᱥᱟᱯᱷᱚᱛᱟ ᱥᱟᱯᱷᱛᱷᱟ ᱥᱟᱯᱷᱛ ᱥᱟᱯᱷᱚᱛ ᱥᱟᱯᱷᱚᱴ ᱥᱟᱯᱷᱚᱛᱚ ᱥᱟᱯᱷᱚᱛᱷ ᱥᱟᱯᱷᱚᱫ ᱥᱟᱯᱷᱚᱛᱮ ᱥᱟᱯᱷᱮᱛ ᱥᱟᱯᱷᱮᱫ ᱥᱟᱯᱷᱛᱮ ᱥᱟᱯᱷᱛᱚᱨ ᱥᱟᱯᱷᱟᱴ ᱥᱟᱯᱷᱮᱴ ᱥᱟᱯᱷᱴᱮ ᱥᱟᱯᱷᱮᱴᱟ ᱥᱟᱯᱷᱴᱟ ᱥᱟᱯᱷꯇꯥ ᱥᱟ,"ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ, ᱵᱤᱥᱮᱥᱠᱟᱭᱛᱮ ᱥᱟᱵᱷᱟᱱᱟ ᱨᱮ ᱾ | ᱥᱟᱱᱟᱢ ᱞᱮᱠᱟᱛᱮ ᱚᱯᱷᱨᱤᱠᱟ ᱵᱤᱨ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱾ | ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱯᱷᱟᱨᱤ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱾ | ᱥᱟᱵᱟᱫ ᱫᱚ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾"
public,bench/clips/public/hi/fleurs-hi_00026_1957.wav,7,1,1423,688,1123,3234,2056,2056,0,100.0,उन्होंने नक को राजनीतिक बकसर मुखतापना कहा,ᱩᱱᱤ ᱫᱚ ᱱᱟᱠ ᱫᱚ ᱨᱟᱡᱟᱹᱨᱤ ᱵᱚᱠᱥᱟᱨ ᱢᱩᱴᱤᱢᱟᱯ ᱢᱮᱱ ᱞᱮᱫᱟᱭ ᱾,ᱩᱱᱤ ᱫᱚ ᱱᱟᱠ ᱫᱚ ᱨᱟᱡᱟᱹᱨᱤ ᱵᱚᱠᱥᱟᱨ ᱢᱩᱴᱤᱢᱟᱯ ᱢᱮᱱ ᱞᱮᱫᱟᱭ ᱾
public,bench/clips/public/hi/fleurs-hi_00027_1802.wav,12,2,1145,683,1137,2964,2396,3273,0,55.6,इंटरनेट लोगों और अंतर परस्पर संचार दोनों के तत्वों को मिलाता है,ᱤᱱᱴᱟᱨᱱᱮᱴ ᱦᱚᱲ ᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱵᱟᱨᱮᱛᱮ ᱡᱳᱜᱟᱡᱳᱜ ᱵᱟᱱᱟᱨ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱜᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱾,ᱤᱱᱴᱟᱨᱱᱮᱴ ᱦᱚᱲ ᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱡᱳᱜᱟᱡᱳᱜ ᱾ | ᱵᱟᱱᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱭᱩᱢᱟᱹᱱ ᱠᱚ ᱥᱮᱞᱮᱫ ᱢᱮ ᱾
public,bench/clips/public/hi/fleurs-hi_00033_1910.wav,14,2,2169,907,1141,4217,3069,4547,0,53.1,ऐसा माना जाता है कि पैरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं,ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ ᱯᱮᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱫᱚ ᱟᱠᱷᱟᱲᱟᱣᱟᱱ ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱟᱨ ᱟᱠᱷᱟᱲᱟᱱ ᱾,ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱱᱚᱶᱟ ᱫᱚ ᱾ | ᱡᱮ ᱯᱮᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱟᱱ ᱟᱨ ᱜᱳᱨᱰ ᱾
public,bench/clips/public/hi/fleurs-hi_00034_1721.wav,23,4,2203,2261,3016,7480,3187,7136,0,6.7,एक हज़ार नौ सौ तिरसठ में बादध बनने के बाद मौसमी बाढ़ जो पूरे नदी में थलचट फैला देगी वह रुक गई थी,"ᱢᱤᱫ, ᱢᱤᱫ, ᱛᱩᱨᱩᱭ, ᱜᱮᱞ ᱜᱮᱞ ᱜᱮᱞ, ᱜᱮᱞ, ᱛᱩᱨᱩᱭ ᱜᱮᱞ, ᱮᱞ, ᱮᱞ ᱟᱨ ᱟᱨ ᱟᱨ ᱮ ᱟᱨ ᱮ, ᱮᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫ, ᱜᱮᱞ ᱟᱨ ᱢᱤᱫ, ᱮᱞᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱟᱨ ᱢᱤᱫ ᱟᱨ ᱢᱤᱫᱴᱟᱝ, ᱮᱞᱼᱟᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱨ, ᱮᱞᱟᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱵᱟᱨ, ᱟᱭᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ, ᱟᱭᱚᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱨ ᱢᱤᱫ ᱵᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱢᱤᱫ ᱵᱟᱨ ᱦᱚᱲ, ᱟᱭ ᱟᱨ ᱢᱤᱫ ᱦᱚᱲ, ᱢᱤᱫ ᱦᱚᱲ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱦᱚᱲ ᱨᱮᱱ ᱢᱤᱫ ᱦᱚᱲ ᱟᱨ ᱢᱤᱫ ᱜᱮᱞ ᱦᱚᱲ ᱨᱮᱱ ᱢᱤᱫᱴᱟᱝ ᱦᱚᱲ, ᱟᱨ ᱢᱤᱫᱵᱟᱨ ᱨᱮᱱ ᱢᱤᱫ ᱵᱟᱨ",ᱢᱤᱫ ᱥᱟᱭ ᱱᱟᱹ ᱥᱟᱭ ᱯᱮ ᱥᱟᱭ ᱨᱮ ᱾ | ᱵᱟᱫᱚᱫ ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ ᱢᱚᱨᱥᱩᱢ ᱨᱮᱭᱟᱜ ᱰᱩᱵᱟᱹ ᱾ | ᱡᱳ ᱱᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱦᱤᱸᱥ ᱨᱮ ᱛᱟᱞᱟᱪᱴ ᱾ | ᱯᱟᱥᱱᱟᱣ ᱠᱟᱛᱮ ᱩᱱᱤ ᱫᱚ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱮᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00050_1958.wav,20,3,1564,1053,1459,4076,3123,6081,0,78.8,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है,"ᱱᱚᱶᱟ ᱥᱟᱦᱟᱨ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱥᱟᱦᱟᱨ ᱠᱚ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ, ᱚᱡᱮ ᱫᱚ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱷᱨᱤᱠᱟ ᱥᱟᱦᱟᱨ ᱠᱷᱚᱱ ᱟᱨᱵ ᱥᱟᱦᱟᱨ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾",ᱱᱚᱶᱟ ᱥᱟᱦᱟᱨ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱥᱟᱦᱟᱨ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ ᱾ | ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱷᱨᱤᱠᱟ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱠᱟᱱᱟ ᱾ | ᱟᱨᱵ ᱥᱟᱦᱟᱨ ᱫᱚ ᱚᱱᱟ ᱠᱷᱚᱱ ᱦᱚᱸ ᱡᱟᱹᱥᱛᱤ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00053_1966.wav,19,2,2109,561,1210,3880,3519,5358,0,92.9,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मारटेली की प्रतिक्रिया स्वरूप हुआ था,ᱚᱠᱴᱳᱵᱚᱨ ᱨᱮ ᱮᱦᱚᱵ ᱟᱠᱟᱱ ᱢᱟᱨᱟᱝ ᱥᱟᱥᱚᱱ ᱵᱤᱨᱩᱫ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱢᱟᱨᱴᱮᱞᱤ ᱟᱜ ردعمل ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢᱤᱥᱚᱱ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾,ᱚᱠᱴᱳᱵᱚᱨ ᱨᱮ ᱮᱦᱚᱵ ᱟᱠᱟᱱ ᱢᱟᱨᱟᱝ ᱥᱟᱥᱚᱱ ᱵᱤᱨᱩᱫ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱾ | ᱢᱟᱨᱴᱮᱞᱤ ᱟᱜ ردعمل ᱞᱮᱠᱟᱛᱮ ᱱᱚᱶᱟ ᱠᱚᱢᱤᱥᱚᱱ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00059_1772.wav,18,3,1258,739,1105,3102,2132,4186,0,81.4,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ एक लेवल के रूप में जोड़ा गया था,ᱚᱱᱟᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ ᱱᱳᱴᱮᱥᱚᱱ ᱫᱚ ᱥᱩᱢᱩᱝ ᱢᱤᱫᱴᱟᱝ ᱞᱮᱵᱷᱮᱞ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱞᱮᱫ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾,ᱚᱱᱟᱛᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾ | ᱱᱚᱶᱟ ᱱᱳᱴᱮᱥᱚᱱ ᱫᱚ ᱥᱩᱢᱩᱝ ᱢᱤᱫᱴᱟᱝ ᱾ | ᱞᱮᱵᱷᱮᱞ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱞᱮᱫ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00060_1803.wav,20,2,1700,1134,949,3783,3072,4581,0,93.5,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,ᱟᱢᱟᱜ ᱛᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱫᱚ ᱵᱤᱞᱟᱹᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱥᱟᱞᱟᱜ ᱠᱟᱹᱢᱤᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱚᱵᱷᱟᱨ ᱮ ᱵᱮᱱᱟᱣᱼᱟ ᱾,ᱟᱢᱟᱜ ᱛᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱫᱚ ᱵᱤᱞᱟᱹᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱥᱟᱞᱟᱜ ᱠᱟᱹᱢᱤᱼᱟ ᱾ | ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱚᱵᱷᱟᱨ ᱮ ᱵᱮᱱᱟᱣᱼᱟ ᱾
