clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/sat/indicvoices-sat_00081_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,4.51,True,2542.0,1236.0,483.0,700.0,2420.0,model,piper,105516,,0.333,0.833,ᱦᱩᱸ ᱚᱠᱚᱭ ᱰᱚᱠᱴᱚᱨ ᱵᱟᱵᱩᱢ ᱢᱮᱱ ᱫᱟᱥᱮ,ᱚᱠᱚᱭ ᱰᱟᱠᱛᱚᱨ ᱵᱟᱹᱵᱩᱢ ᱢᱮᱱᱫᱟᱟᱥ
bench/clips/public/sat/indicvoices-sat_00114_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,5.39,False,2554.8,1464.0,516.0,556.0,2537.0,model,piper,94764,,0.043,0.4,ᱟᱨ ᱪᱮᱫᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ ᱦᱮᱸ,ᱟᱨ ᱪᱮᱫ ᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ ᱦᱮᱸ
bench/clips/public/sat/indicvoices-sat_00157_4785074604103857_chunk_7.wav,sat,sat-to-hi,9.38,False,3852.3,2686.0,811.0,339.0,3835.0,model,piper,218668,,0.059,0.267,ᱟᱨ ᱚᱯᱷᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱚᱭᱤᱝ ᱠᱟᱛᱷᱟ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱸᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ,ᱟᱨ ᱚᱯ ᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱚᱭᱤᱝ ᱠᱷᱟᱛᱟᱟᱨ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ
bench/clips/public/sat/indicvoices-sat_00182_bd8a4a34_0cbc_4d85_9386_970036ae57f0_0_c.wav,sat,sat-to-hi,7.74,False,2214.2,812.0,985.0,404.0,2200.0,model,piper,358956,,0.397,0.826,ᱩᱱᱠᱩ ᱫᱚ ᱵᱟᱞᱤᱧ ᱞᱟᱹᱭᱟᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤ ᱮᱫᱟ ᱮᱱᱛᱮᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱦᱟᱱᱮ ᱫᱟᱜ ᱛᱮᱛᱟᱝ ᱤᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮᱱᱮᱫᱼᱟ ᱦᱟᱯᱮ ᱵᱟᱦᱨᱮᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫᱼᱟ,ᱩᱱᱩᱠᱩ ᱫᱚ ᱵᱟᱟᱹᱞᱤᱧ ᱞᱟᱹᱫᱠᱚᱣᱟ ᱟᱨᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤᱮᱫᱼᱟ ᱟᱹᱧᱤᱧ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫ ᱠᱚᱣᱟ ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦ ᱦᱟᱱᱤ ᱫᱟᱜ ᱛᱮᱤᱛᱟᱹᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮ ᱵᱮᱵᱚᱦᱟᱨᱤᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫ
bench/clips/public/sat/indicvoices-sat_00214_4785074604186682_chunk_3.wav,sat,sat-to-hi,3.1,False,1380.9,486.0,266.0,618.0,1369.0,model,piper,105004,,0.03,0.2,ᱯᱟᱸᱪ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱫᱤᱥᱮᱢᱵᱚᱨ,ᱯᱟᱸᱪ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱰᱤᱥᱮᱢᱵᱚᱨ
bench/clips/public/sat/indicvoices-sat_00216_4785074604131738_chunk_1.wav,sat,sat-to-hi,3.91,False,786.2,459.0,96.0,218.0,773.0,model,piper,22572,,0.0,0.0,ᱥᱩᱱ,ᱥᱩᱱ
bench/clips/public/sat/indicvoices-sat_00245_f649fd5b_fdf4_41a4_806b_9b9cbb5c811e_0_c.wav,sat,sat-to-hi,3.12,False,1842.7,893.0,487.0,447.0,1827.0,model,piper,85548,,0.029,0.286,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ
bench/clips/public/sat/indicvoices-sat_00283_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,9.77,False,1879.3,850.0,613.0,402.0,1865.0,model,piper,207916,,0.068,0.1,ᱦᱚᱸ ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱝᱨᱟ ᱠᱚ,ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱸᱝᱽᱨᱟ ᱠᱚ
bench/clips/public/sat/indicvoices-sat_00294_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,5.39,False,1643.3,643.0,511.0,476.0,1630.0,model,piper,142380,,0.298,1.0,ᱦᱮᱸ ᱦᱳᱭ ᱦᱚᱸ ᱦᱳᱭ ᱟᱯᱮ ᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤ ᱯᱮ ᱪᱟᱥᱟᱥᱮ ᱵᱟᱝᱼᱟ,ᱦᱚᱸᱮᱸ ᱚ ᱦᱚᱭ ᱟᱫᱚ ᱟᱯᱮᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤᱯᱮ ᱪᱟᱥᱟ ᱥᱮᱮ ᱵᱟᱝᱟ
bench/clips/public/sat/indicvoices-sat_00329_4785074604193056_chunk_9.wav,sat,sat-to-hi,8.81,False,1864.8,782.0,528.0,542.0,1852.0,model,piper,185900,,0.037,0.062,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱟᱨ,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ
bench/clips/public/sat/indicvoices-sat_00342_e2538259_5fe2_4b36_941c_a037d52e0d88_1_c.wav,sat,sat-to-hi,3.21,False,1497.4,456.0,563.0,466.0,1485.0,model,piper,113196,,0.4,0.333,ᱦᱮᱸ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱡᱚᱦᱟᱨ ᱜᱮ,ᱦᱮᱸ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱡᱚᱦᱟᱨ
bench/clips/public/sat/indicvoices-sat_00355_4785074604090091_chunk_1.wav,sat,sat-to-hi,8.1,False,2020.7,827.0,737.0,441.0,2006.0,model,piper,272428,,0.138,0.357,ᱥᱟᱥᱛᱷᱚ ᱵᱟᱵᱚᱛ ᱛᱮ ᱵᱤᱨᱵᱷᱩᱢ ᱨᱮ ᱡᱮᱴᱟ ᱢᱟᱱᱮ ᱥᱚᱨᱠᱟᱨ ᱢᱟᱱᱮ ᱦᱟᱥᱯᱟᱛᱟᱞ ᱵᱟᱨᱦᱮ ᱪᱟᱞᱟᱣ ᱠᱟᱱᱛᱟᱦᱮᱸᱫᱼᱟ ᱠᱤᱱᱛᱩ,ᱥᱟᱥᱛᱷᱚ ᱵᱟᱵᱚᱫᱚᱞᱛᱮ ᱵᱤᱨᱵᱷᱩᱢ ᱨᱮ ᱡᱮᱴᱟ ᱢᱟᱱᱮ ᱥᱚᱨᱠᱟᱨ ᱢᱟᱱᱮ ᱦᱟᱥᱯᱟᱛᱟᱞ ᱵᱟᱨᱦᱮ ᱪᱞᱟᱟᱭᱮᱫ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ ᱠᱤᱱᱛᱩ
bench/clips/public/sat/indicvoices-sat_00364_4785074604090091_chunk_10.wav,sat,sat-to-hi,5.67,False,1816.3,683.0,781.0,336.0,1801.0,model,piper,253484,,0.165,0.533,ᱟᱨ ᱡᱮᱴᱟ ᱧᱮᱞ ᱟᱠᱟᱫᱟ ᱢᱟᱱᱮ ᱠᱳᱵᱷᱤᱴ ᱱᱟᱭᱤᱱᱴᱤ ᱟᱹᱰᱤ ᱢᱚᱦᱟ ᱢᱟᱨᱤ ᱫᱩᱦᱟᱡᱟᱨ ᱩᱱᱱᱤᱥ ᱨᱮ ᱦᱳᱭ ᱟᱠᱟᱱᱟ,ᱟᱨ ᱡᱮᱴᱟᱧ ᱧᱮᱞ ᱟᱠᱟᱫᱟ ᱢᱟᱱᱮ ᱠᱳᱵᱷᱤᱰ ᱱᱟᱭᱤᱱᱴᱤᱤᱱ ᱡᱮᱴᱟ ᱟᱹᱰᱤ ᱢᱚᱦᱟᱢᱟᱨᱤ ᱫᱩᱦᱟᱡᱟᱨ ᱩᱱᱤᱥ ᱨᱮ ᱦ ᱟᱠᱟᱱᱟ
bench/clips/public/sat/indicvoices-sat_00369_4785074604185236_chunk_2.wav,sat,sat-to-hi,5.92,False,1633.0,704.0,274.0,641.0,1620.0,model,piper,79916,,0.0,0.0,ᱮᱠ ᱨᱮ ᱢᱤᱫ ᱜᱮᱞ ᱵᱟᱨ ᱯᱷᱟᱹᱜᱩᱱ ᱵᱚᱸᱜᱟ,ᱮᱠ ᱨᱮ ᱢᱤᱫ ᱜᱮᱞ ᱵᱟᱨ ᱯᱷᱟᱹᱜᱩᱱ ᱵᱚᱸᱜᱟ
bench/clips/public/sat/indicvoices-sat_00422_0f0fd12f_8795_4165_8427_1bd3f325c51c_1_c.wav,sat,sat-to-hi,6.36,False,1667.0,654.0,666.0,333.0,1653.0,model,piper,221740,,0.081,0.273,ᱟᱪᱪᱷᱟ ᱛᱟᱦᱚᱞᱮ ᱟᱞᱤᱧ ᱮᱸ ᱮᱢᱵᱩᱞᱮᱱᱥ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱮᱱ ᱜᱟᱱ ᱱᱟᱨᱥ ᱞᱤᱧ ᱠᱩᱞᱮᱭᱟ,ᱟᱪᱪᱷᱟ ᱛᱟᱦᱚᱞᱮ ᱟᱹᱞᱤᱧ ᱮᱢᱵᱩᱞᱮᱱᱥ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱮᱱ ᱜᱟᱱ ᱱᱟᱨᱥ ᱞᱤᱧ ᱠᱩᱞᱭᱟ
