set,clip,words,chunks,asr_ms,nmt_ms,tts_ms,full_ms,first_audio_ms,last_audio_ms,stalls,chunk_vs_whole_chrf,recognized,whole,chunked
public,bench/clips/public/hi/fleurs-hi_00000_1766.wav,23,3,894,2653,549,4097,2834,4850,0,67.4,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,"ᱠᱤᱪᱷᱩᱠ ᱢᱳᱞᱤᱠᱩᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱱᱤᱭᱩᱠᱞᱤᱴ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ, ᱚᱱᱟᱠᱚ ᱠᱚᱢ ᱥᱮ ᱵᱟᱝ ᱦᱟᱹᱱ ᱠᱟᱛᱮ ᱵᱨᱟᱠ ᱠᱚᱨᱟᱣ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱾",ᱠᱤᱪᱷᱩᱠ ᱢᱳᱞᱤᱠᱩᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱱᱤᱭᱩᱠᱞᱤᱭᱩᱴ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱱᱚᱶᱟ ᱾ | ᱚᱱᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱩᱱᱠᱩ ᱢᱩᱫᱨᱮ ᱟᱹᱰᱤ ᱠᱚᱢ ᱥᱮ ᱵᱟᱝ ᱾ | ᱦᱟᱹᱱ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱵᱨᱟᱠᱰᱟᱣᱩᱱ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00015_1992.wav,25,4,869,2163,372,3404,1805,4123,0,71.5,विशेष रूप से सवाना पर बेहतरीन अफ्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफारी शब्द का उपयोग किया जाता है,ᱥᱟᱯᱷᱟᱨᱤ ᱥᱟᱵᱟᱫ ᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱵᱷᱟᱱᱟ ᱨᱮ ᱥᱚᱨᱮᱥ ᱚᱯᱷᱨᱤᱠᱟ ᱵᱤᱨ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾,"ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ, ᱵᱤᱥᱮᱥᱠᱟᱭᱛᱮ ᱥᱟᱵᱷᱟᱱᱟ ᱨᱮ ᱾ | ᱥᱟᱱᱟᱢ ᱞᱮᱠᱟᱛᱮ ᱚᱯᱷᱨᱤᱠᱟ ᱵᱤᱨ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱾ | ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱯᱷᱟᱨᱤ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱾ | ᱥᱟᱵᱟᱫ ᱫᱚ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾"
public,bench/clips/public/hi/fleurs-hi_00026_1957.wav,7,1,596,2016,247,2859,1799,1799,0,100.0,उन्होंने नक को राजनीतिक बकसर मुखतापना कहा,ᱩᱱᱤ ᱫᱚ ᱱᱟᱠ ᱫᱚ ᱨᱟᱡᱟᱹᱨᱤ ᱵᱚᱠᱥᱟᱨ ᱫᱟᱯᱨᱟᱢ ᱢᱮᱱᱛᱮ ᱠᱚ ᱢᱮᱱ ᱞᱮᱫᱟ ᱾,ᱩᱱᱤ ᱫᱚ ᱱᱟᱠ ᱫᱚ ᱨᱟᱡᱟᱹᱨᱤ ᱵᱚᱠᱥᱟᱨ ᱫᱟᱯᱨᱟᱢ ᱢᱮᱱᱛᱮ ᱠᱚ ᱢᱮᱱ ᱞᱮᱫᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00027_1802.wav,12,2,308,1564,292,2164,1269,2079,0,65.3,इंटरनेट लोगों और अंतर परस्पर संचार दोनों के तत्वों को मिलाता है,ᱤᱱᱴᱟᱨᱱᱮᱴ ᱦᱚᱲ ᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱡᱳᱜᱟᱡᱳᱜ ᱵᱟᱱᱟᱨ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱜᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱾,ᱤᱱᱴᱟᱨᱱᱮᱴ ᱦᱚᱲ ᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱡᱳᱜᱟᱡᱳᱜ ᱾ | ᱵᱟᱱᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱭᱩᱢᱟᱹᱱ ᱠᱚ ᱥᱮᱞᱮᱫ ᱢᱮ ᱾
public,bench/clips/public/hi/fleurs-hi_00033_1910.wav,14,2,703,1784,312,2799,1905,3766,0,79.6,ऐसा माना जाता है कि पैरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं,ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ ᱯᱮᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱟᱱ ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱟᱨ ᱜᱳᱨᱰ ᱾,ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱱᱚᱶᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾ | ᱱᱚᱶᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ ᱯᱮᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱟᱱ ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱟᱨ ᱚᱵᱷᱟᱵ ᱟᱱ ᱾
public,bench/clips/public/hi/fleurs-hi_00034_1721.wav,23,4,907,3936,852,5695,1697,5345,0,28.8,एक हज़ार नौ सौ तिरसठ में बादध बनने के बाद मौसमी बाढ़ जो पूरे नदी में थलचट फैला देगी वह रुक गई थी,"ᱢᱤᱫ, ᱢᱤᱫ, ᱜᱮᱞ, ᱜᱮᱞ ᱜᱮᱞ ᱜᱮᱞ, ᱛᱩᱨᱩᱭ ᱜᱮᱞ, ᱢᱤᱫ ᱜᱮᱞ, ᱢᱤᱫᱴᱟᱝ ᱜᱮᱞ, ᱵᱟᱨᱭᱟ, ᱢᱤᱫᱴᱟᱝ ᱮᱞᱟᱨᱟᱢ ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ, ᱡᱟᱦᱟᱸ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱨᱮᱭᱟᱜ ᱫᱟᱜᱡᱩᱠᱤ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱟᱱᱟᱢ ᱱᱟᱹᱭ ᱨᱮ ᱛᱟᱞᱚᱠᱴ ᱯᱟᱥᱱᱟᱣᱼᱟ, ᱚᱱᱟ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱮᱱᱟ ᱾",ᱢᱤᱫ ᱥᱟᱭ ᱱᱟᱹ ᱥᱟᱭ ᱯᱮ ᱥᱟᱭ ᱨᱮ ᱾ | ᱵᱟᱫᱚᱫ ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ ᱢᱚᱨᱥᱩᱢ ᱨᱮᱭᱟᱜ ᱫᱟᱜᱡᱩᱠᱤ ᱾ | ᱡᱳ ᱱᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱦᱤᱸᱥ ᱨᱮ ᱛᱟᱞᱟᱪᱴ ᱾ | ᱯᱟᱥᱱᱟᱣ ᱠᱟᱛᱮ ᱩᱱᱤ ᱫᱚ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱮᱱᱟᱭ ᱾
public,bench/clips/public/hi/fleurs-hi_00050_1958.wav,20,3,799,2773,574,4146,1998,4910,0,79.4,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है,"ᱱᱚᱶᱟ ᱥᱟᱦᱟᱨ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱥᱟᱦᱟᱨ ᱠᱚ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ, ᱚᱡᱮ ᱫᱚ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱷᱨᱤᱠᱟ ᱥᱟᱦᱟᱨ ᱠᱷᱚᱱ ᱦᱚᱸ ᱟᱨᱵ ᱥᱟᱦᱟᱨ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾",ᱱᱚᱶᱟ ᱥᱟᱦᱟᱨ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱥᱟᱦᱟᱨ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ ᱾ | ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱷᱨᱤᱠᱟ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱠᱟᱱᱟ ᱾ | ᱟᱨᱵ ᱥᱟᱦᱟᱨ ᱫᱚ ᱚᱱᱟ ᱠᱷᱚᱱ ᱦᱚᱸ ᱡᱟᱹᱥᱛᱤ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00053_1966.wav,19,2,1101,2077,641,3819,2800,4426,0,81.3,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मारटेली की प्रतिक्रिया स्वरूप हुआ था,ᱚᱠᱴᱳᱵᱚᱨ ᱨᱮ ᱮᱛᱚᱦᱚᱵ ᱟᱠᱟᱱ ᱢᱟᱨᱟᱝ ᱥᱟᱥᱚᱱ ᱵᱤᱨᱩᱫ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱢᱟᱨᱴᱮᱞᱤ ᱟᱜ ردعمل ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢᱤᱥᱚᱱ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾,ᱚᱠᱴᱳᱵᱚᱨ ᱨᱮ ᱮᱛᱚᱦᱚᱵ ᱟᱠᱟᱱ ᱢᱟᱨᱟᱝ ᱥᱟᱥᱚᱱ ᱵᱤᱨᱩᱫ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱾ | ᱢᱟᱨᱴᱮᱞᱤ ᱟᱜ ردعمل ᱨᱮ ᱱᱚᱶᱟ ᱠᱚᱢᱤᱥᱚᱱ ᱵᱮᱱᱟᱣ ᱞᱮᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00059_1772.wav,18,3,867,1875,333,3075,2012,4383,0,74.5,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ एक लेवल के रूप में जोड़ा गया था,ᱚᱱᱟᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮ ᱱᱳᱴᱮᱥᱚᱱ ᱫᱚ ᱥᱩᱢᱩᱝ ᱢᱤᱫᱴᱟᱝ ᱞᱮᱵᱷᱮᱞ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱞᱮᱫ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾,ᱚᱱᱟᱛᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾ | ᱱᱚᱶᱟ ᱱᱳᱴᱮᱥᱚᱱ ᱫᱚ ᱥᱩᱢᱩᱝ ᱢᱤᱫᱴᱟᱝ ᱾ | ᱞᱮᱵᱷᱮᱞ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱞᱮᱫ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
public,bench/clips/public/hi/fleurs-hi_00060_1803.wav,20,2,929,2759,437,4126,2430,3981,0,93.5,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,ᱟᱢᱟᱜ ᱛᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱫᱚ ᱵᱤᱞᱟᱹᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱥᱟᱞᱟᱜ ᱠᱟᱹᱢᱤᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱚᱵᱷᱟᱨ ᱮ ᱵᱮᱱᱟᱣᱼᱟ ᱾,ᱟᱢᱟᱜ ᱛᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱫᱚ ᱵᱤᱞᱟᱹᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱥᱟᱞᱟᱜ ᱠᱟᱹᱢᱤᱼᱟ ᱾ | ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱚᱵᱷᱟᱨ ᱮ ᱵᱮᱱᱟᱣᱼᱟ ᱾
