clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/sat/indicvoices-sat_00081_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,4.51,True,3964.2,2384.0,743.0,706.0,3832.0,model,piper,78892,,0.3,0.667,ᱦᱩᱸ ᱚᱠᱚᱭ ᱰᱚᱠᱴᱚᱨ ᱵᱟᱵᱩᱢ ᱢᱮᱱ ᱫᱟᱥᱮ,ᱚᱠᱚᱭ ᱰᱟᱠᱴᱚᱨ ᱵᱟᱵᱩᱢ ᱢᱮᱱᱫᱟ ᱪᱮᱫ
bench/clips/public/sat/indicvoices-sat_00114_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,5.39,False,3252.4,2378.0,350.0,510.0,3238.0,model,piper,52780,,0.217,0.6,ᱟᱨ ᱪᱮᱫᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ ᱦᱮᱸ,ᱟᱨ ᱪᱮᱫ ᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ
bench/clips/public/sat/indicvoices-sat_00157_4785074604103857_chunk_7.wav,sat,sat-to-hi,9.38,False,2699.1,1423.0,968.0,295.0,2686.0,model,piper,246316,,0.059,0.267,ᱟᱨ ᱚᱯᱷᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱚᱭᱤᱝ ᱠᱟᱛᱷᱟ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱸᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ,ᱟᱨ ᱚᱯᱷ ᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱤᱝ ᱠᱷᱟᱛᱟ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱸᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ
bench/clips/public/sat/indicvoices-sat_00182_bd8a4a34_0cbc_4d85_9386_970036ae57f0_0_c.wav,sat,sat-to-hi,7.74,False,2677.1,1357.0,987.0,319.0,2663.0,model,piper,264236,,0.351,0.696,ᱩᱱᱠᱩ ᱫᱚ ᱵᱟᱞᱤᱧ ᱞᱟᱹᱭᱟᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤ ᱮᱫᱟ ᱮᱱᱛᱮᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱦᱟᱱᱮ ᱫᱟᱜ ᱛᱮᱛᱟᱝ ᱤᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮᱱᱮᱫᱼᱟ ᱦᱟᱯᱮ ᱵᱟᱦᱨᱮᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫᱼᱟ,ᱩᱱᱠᱩ ᱫᱚ ᱵᱟᱞᱤᱧ ᱞᱟᱹᱭ ᱟᱠᱚᱣᱟ ᱱᱩᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤᱭᱮᱫᱼᱟ ᱟᱹᱞᱤᱧ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫ ᱠᱚᱣᱟ ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱦᱟᱱᱮ ᱫᱟᱜ ᱛᱮᱛᱟᱹᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮᱱᱟ ᱵᱮᱵᱚᱦᱟᱨᱤᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫᱼᱟ ᱩᱱᱠᱩ
bench/clips/public/sat/indicvoices-sat_00214_4785074604186682_chunk_3.wav,sat,sat-to-hi,3.1,False,1739.5,581.0,547.0,601.0,1728.0,model,piper,105004,,0.061,0.4,ᱯᱟᱸᱪ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱫᱤᱥᱮᱢᱵᱚᱨ,ᱯᱟᱸᱪ ᱥᱤᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱰᱤᱥᱮᱢᱵᱚᱨ
bench/clips/public/sat/indicvoices-sat_00216_4785074604131738_chunk_1.wav,sat,sat-to-hi,3.91,False,1450.6,824.0,194.0,420.0,1438.0,model,piper,20012,,0.0,0.0,ᱥᱩᱱ,ᱥᱩᱱ
bench/clips/public/sat/indicvoices-sat_00245_f649fd5b_fdf4_41a4_806b_9b9cbb5c811e_0_c.wav,sat,sat-to-hi,3.12,False,2386.3,1223.0,808.0,341.0,2371.0,model,piper,112684,,0.0,0.0,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ
bench/clips/public/sat/indicvoices-sat_00283_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,9.77,False,2438.2,1266.0,890.0,266.0,2422.0,model,piper,220716,,0.08,0.1,ᱦᱚᱸ ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱝᱨᱟ ᱠᱚ,ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱸᱜᱽᱨᱟ ᱠᱚ
bench/clips/public/sat/indicvoices-sat_00294_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,5.39,False,1961.9,813.0,911.0,223.0,1948.0,model,piper,107052,,0.277,0.9,ᱦᱮᱸ ᱦᱳᱭ ᱦᱚᱸ ᱦᱳᱭ ᱟᱯᱮ ᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤ ᱯᱮ ᱪᱟᱥᱟᱥᱮ ᱵᱟᱝᱼᱟ,ᱦᱮᱸ ᱚ ᱟᱫᱚ ᱟᱯᱮᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤᱯᱮ ᱪᱟᱥᱟ ᱥᱮ ᱵᱟᱝᱟ
bench/clips/public/sat/indicvoices-sat_00329_4785074604193056_chunk_9.wav,sat,sat-to-hi,8.81,False,2451.9,1305.0,832.0,302.0,2440.0,model,piper,193068,,0.037,0.062,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱟᱨ,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ
bench/clips/public/sat/indicvoices-sat_00342_e2538259_5fe2_4b36_941c_a037d52e0d88_1_c.wav,sat,sat-to-hi,3.21,False,1922.2,881.0,331.0,697.0,1909.0,model,piper,120364,,0.4,0.333,ᱦᱮᱸ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱡᱚᱦᱟᱨ ᱜᱮ,ᱦᱮᱸ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱦᱮᱸ ᱡᱚᱦᱟᱨ ᱜᱮ ᱡᱚᱦᱟᱨ
bench/clips/public/sat/indicvoices-sat_00355_4785074604090091_chunk_1.wav,sat,sat-to-hi,8.1,False,2522.2,1176.0,991.0,341.0,2509.0,model,piper,294444,,0.115,0.357,ᱥᱟᱥᱛᱷᱚ ᱵᱟᱵᱚᱛ ᱛᱮ ᱵᱤᱨᱵᱷᱩᱢ ᱨᱮ ᱡᱮᱴᱟ ᱢᱟᱱᱮ ᱥᱚᱨᱠᱟᱨ ᱢᱟᱱᱮ ᱦᱟᱥᱯᱟᱛᱟᱞ ᱵᱟᱨᱦᱮ ᱪᱟᱞᱟᱣ ᱠᱟᱱᱛᱟᱦᱮᱸᱫᱼᱟ ᱠᱤᱱᱛᱩ,ᱥᱟᱥᱛᱷᱚ ᱵᱟᱵᱚᱫ ᱵᱚᱞᱛᱮ ᱵᱤᱨᱵᱷᱩᱢ ᱨᱮ ᱡᱮᱴᱟ ᱢᱟᱱᱮ ᱥᱚᱨᱠᱟᱨ ᱢᱟᱱᱮ ᱦᱟᱥᱯᱟᱛᱟᱞ ᱵᱟᱨᱦᱮ ᱪᱟᱞᱟᱣᱮᱫ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ ᱠᱤᱱᱛᱩ
bench/clips/public/sat/indicvoices-sat_00364_4785074604090091_chunk_10.wav,sat,sat-to-hi,5.67,False,2429.4,974.0,1093.0,347.0,2415.0,model,piper,289836,,0.127,0.467,ᱟᱨ ᱡᱮᱴᱟ ᱧᱮᱞ ᱟᱠᱟᱫᱟ ᱢᱟᱱᱮ ᱠᱳᱵᱷᱤᱴ ᱱᱟᱭᱤᱱᱴᱤ ᱟᱹᱰᱤ ᱢᱚᱦᱟ ᱢᱟᱨᱤ ᱫᱩᱦᱟᱡᱟᱨ ᱩᱱᱱᱤᱥ ᱨᱮ ᱦᱳᱭ ᱟᱠᱟᱱᱟ,ᱟᱨ ᱡᱮᱴᱟᱧ ᱧᱮᱞ ᱟᱠᱟᱫᱟ ᱢᱟᱱᱮ ᱠᱳᱵᱷᱤᱰ ᱱᱟᱭᱤᱱᱴᱤ ᱡᱮᱴᱟ ᱟᱹᱰᱤ ᱢᱚᱦᱟᱢᱟᱨᱤ ᱫᱩᱦᱟᱡᱟᱨ ᱩᱱᱤᱥ ᱨᱮ ᱦᱩᱭ ᱟᱠᱟᱱᱟ
bench/clips/public/sat/indicvoices-sat_00369_4785074604185236_chunk_2.wav,sat,sat-to-hi,5.92,False,2011.0,936.0,787.0,273.0,1996.0,model,piper,81964,,0.0,0.0,ᱮᱠ ᱨᱮ ᱢᱤᱫ ᱜᱮᱞ ᱵᱟᱨ ᱯᱷᱟᱹᱜᱩᱱ ᱵᱚᱸᱜᱟ,ᱮᱠ ᱨᱮ ᱢᱤᱫ ᱜᱮᱞ ᱵᱟᱨ ᱯᱷᱟᱹᱜᱩᱱ ᱵᱚᱸᱜᱟ
bench/clips/public/sat/indicvoices-sat_00422_0f0fd12f_8795_4165_8427_1bd3f325c51c_1_c.wav,sat,sat-to-hi,6.36,False,2252.0,1074.0,857.0,308.0,2238.0,model,piper,177708,,0.065,0.182,ᱟᱪᱪᱷᱟ ᱛᱟᱦᱚᱞᱮ ᱟᱞᱤᱧ ᱮᱸ ᱮᱢᱵᱩᱞᱮᱱᱥ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱮᱱ ᱜᱟᱱ ᱱᱟᱨᱥ ᱞᱤᱧ ᱠᱩᱞᱮᱭᱟ,ᱟᱪᱪᱷᱟ ᱛᱟᱦᱚᱞᱮ ᱟᱞᱤᱧ ᱮᱢᱵᱩᱞᱮᱱᱥ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱟᱱ ᱜᱟᱱ ᱱᱟᱨᱥ ᱞᱤᱧ ᱠᱩᱞᱮᱭᱟ
bench/clips/public/sat/indicvoices-sat_00457_b163fdd0_38b1_4b54_8a8b_4741a10c3bf0_1_c.wav,sat,sat-to-hi,6.96,False,2159.5,1091.0,772.0,281.0,2145.0,model,piper,114732,,0.049,0.1,ᱟᱢ ᱚ ᱥᱩᱞᱮᱠᱷᱟ ᱪᱮᱫ ᱞᱟᱹᱭ ᱢᱮ ᱪᱮᱫ ᱠᱚ ᱠᱷᱚᱵᱚᱨ ᱠᱚ,ᱟᱢ ᱚ ᱥᱮᱠᱷᱟ ᱪᱮᱫ ᱞᱟᱹᱭ ᱢᱮ ᱪᱮᱫ ᱠᱚ ᱠᱷᱚᱵᱚᱨ ᱠᱚ
bench/clips/public/sat/indicvoices-sat_00466_b163fdd0_38b1_4b54_8a8b_4741a10c3bf0_1_c.wav,sat,sat-to-hi,7.58,False,2171.2,1044.0,870.0,242.0,2156.0,model,piper,149548,,0.102,0.308,ᱟᱞᱮ ᱦᱚᱸ ᱵᱟᱦᱟ ᱢᱮᱱᱟᱜ ᱵᱟᱦᱟ ᱦᱚᱸ ᱵᱮᱥ ᱜᱮ ᱥᱚᱨᱦᱟᱭ ᱠᱚᱦᱚᱸ ᱤᱭᱟᱹ ᱠᱚ ᱟᱨᱚ,ᱟᱞᱮ ᱦᱚᱸ ᱵᱟᱦᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱟᱦᱟ ᱦᱚᱸ ᱵᱟᱥᱜᱮ ᱥᱚᱦᱨᱟᱭ ᱠᱚᱦᱚᱸ ᱤᱭᱟᱹ ᱠᱚ ᱟᱨᱚ
bench/clips/public/sat/indicvoices-sat_00493_4785074604198170_chunk_1.wav,sat,sat-to-hi,8.88,False,2399.2,1186.0,910.0,289.0,2385.0,model,piper,234028,,0.18,0.778,ᱫᱟᱠᱟᱼᱩᱛᱩ ᱤᱥᱤᱱ ᱫᱚ ᱵᱮᱥᱜᱤᱧ ᱵᱟᱲᱟᱭᱟ ᱟᱨ ᱚᱱᱟᱫᱚ ᱤᱥᱤᱱ ᱠᱚᱦᱚᱸ,ᱫᱟᱠᱟ ᱩᱛᱩ ᱤᱥᱤᱱ ᱫᱚ ᱟᱹᱰᱤ ᱵᱮᱥᱜᱮᱧ ᱵᱟᱰᱟᱭᱟ ᱟᱨ ᱚᱱᱟ ᱫᱚ ᱤᱥᱤᱱ ᱠᱚᱦᱚᱸ
