clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/sat/indicvoices-sat_00081_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,4.51,True,3510.7,1657.0,1046.0,673.0,3377.0,model,piper,110636,,0.3,0.833,ᱦᱩᱸ ᱚᱠᱚᱭ ᱰᱚᱠᱴᱚᱨ ᱵᱟᱵᱩᱢ ᱢᱮᱱ ᱫᱟᱥᱮ,ᱚᱠᱚᱭ ᱰᱟᱠᱛᱚᱨ ᱵᱟᱹᱵᱩᱢ ᱢᱮᱱᱫᱟ ᱥᱮ
bench/clips/public/sat/indicvoices-sat_00114_72e01d81_c30a_4a62_827b_9f5e2016c27e_0_c.wav,sat,sat-to-hi,5.39,False,3148.4,2060.0,831.0,242.0,3134.0,model,piper,49708,,0.217,0.6,ᱟᱨ ᱪᱮᱫᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ ᱦᱮᱸ,ᱟᱨ ᱪᱮᱫ ᱞᱮᱠᱟ ᱤᱭᱟᱹ ᱦᱮᱸ
bench/clips/public/sat/indicvoices-sat_00157_4785074604103857_chunk_7.wav,sat,sat-to-hi,9.38,False,2916.2,1662.0,948.0,293.0,2903.0,model,piper,253996,,0.059,0.267,ᱟᱨ ᱚᱯᱷᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱚᱭᱤᱝ ᱠᱟᱛᱷᱟ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱸᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ,ᱟᱨ ᱚᱯᱷ ᱞᱟᱭᱤᱱ ᱨᱮᱱᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱨᱤᱝ ᱠᱷᱟᱛᱟ ᱨᱮ ᱞᱮᱰ ᱯᱮᱱᱥᱤᱞ ᱛᱮᱢ ᱟᱸᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ
bench/clips/public/sat/indicvoices-sat_00182_bd8a4a34_0cbc_4d85_9386_970036ae57f0_0_c.wav,sat,sat-to-hi,7.74,False,2759.4,1348.0,1061.0,331.0,2740.0,model,piper,266284,,0.351,0.696,ᱩᱱᱠᱩ ᱫᱚ ᱵᱟᱞᱤᱧ ᱞᱟᱹᱭᱟᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤ ᱮᱫᱟ ᱮᱱᱛᱮᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱦᱟᱱᱮ ᱫᱟᱜ ᱛᱮᱛᱟᱝ ᱤᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮᱱᱮᱫᱼᱟ ᱦᱟᱯᱮ ᱵᱟᱦᱨᱮᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫᱼᱟ,ᱩᱱᱠᱩ ᱫᱚ ᱵᱟᱞᱤᱧ ᱞᱟᱹᱭ ᱟᱠᱚᱣᱟ ᱱᱩᱠᱩ ᱪᱮᱫ ᱠᱚ ᱠᱟᱹᱢᱤᱭᱮᱫᱼᱟ ᱟᱹᱞᱤᱧ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫ ᱠᱚᱣᱟ ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱢᱮᱱ ᱢᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱦᱟᱱᱮ ᱫᱟᱜ ᱛᱮᱛᱟᱹᱧ ᱠᱟᱱᱟ ᱚᱠᱚᱭ ᱢᱮᱱᱟ ᱵᱮᱵᱚᱦᱟᱨᱤᱧ ᱵᱩᱡᱷᱟᱹᱣᱮᱫᱼᱟ ᱩᱱᱠᱩ
bench/clips/public/sat/indicvoices-sat_00214_4785074604186682_chunk_3.wav,sat,sat-to-hi,3.1,False,1917.8,633.0,359.0,910.0,1902.0,model,piper,105004,,0.061,0.4,ᱯᱟᱸᱪ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱫᱤᱥᱮᱢᱵᱚᱨ,ᱯᱟᱸᱪ ᱥᱤᱯᱴᱮᱢᱵᱚᱨ ᱟᱨ ᱯᱚᱸᱪᱤᱥ ᱰᱤᱥᱮᱢᱵᱚᱨ
bench/clips/public/sat/indicvoices-sat_00216_4785074604131738_chunk_1.wav,sat,sat-to-hi,3.91,False,1044.7,415.0,387.0,230.0,1032.0,model,piper,22572,,0.0,0.0,ᱥᱩᱱ,ᱥᱩᱱ
bench/clips/public/sat/indicvoices-sat_00245_f649fd5b_fdf4_41a4_806b_9b9cbb5c811e_0_c.wav,sat,sat-to-hi,3.12,False,2262.9,1120.0,953.0,177.0,2250.0,model,piper,112684,,0.0,0.0,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ,ᱢᱤᱫᱴᱮᱱ ᱦᱩᱲᱩ ᱤᱛᱟᱹ ᱤᱧ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ
bench/clips/public/sat/indicvoices-sat_00283_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,9.77,False,2644.9,1408.0,883.0,339.0,2630.0,model,piper,212012,,0.08,0.1,ᱦᱚᱸ ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱝᱨᱟ ᱠᱚ,ᱦᱳᱭ ᱦᱳᱭ ᱟᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱫᱤᱱ ᱫᱚ ᱚᱱᱟ ᱠᱚ ᱟᱨ ᱥᱟᱹᱨᱩ ᱠᱚ ᱵᱮᱸᱜᱟᱲ ᱠᱚ ᱵᱤᱞᱟᱹᱛᱤ ᱠᱚ ᱨᱟᱦᱮᱲ ᱠᱚ ᱜᱷᱟᱸᱜᱽᱨᱟ ᱠᱚ
bench/clips/public/sat/indicvoices-sat_00294_01f6e12c_046e_4388_aa66_dfcc39721621_1_c.wav,sat,sat-to-hi,5.39,False,2050.0,923.0,896.0,216.0,2035.0,model,piper,107564,,0.277,0.9,ᱦᱮᱸ ᱦᱳᱭ ᱦᱚᱸ ᱦᱳᱭ ᱟᱯᱮ ᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤ ᱯᱮ ᱪᱟᱥᱟᱥᱮ ᱵᱟᱝᱼᱟ,ᱦᱮᱸ ᱚ ᱟᱫᱚ ᱟᱯᱮᱥᱮᱫ ᱜᱩᱸᱫᱽᱞᱤᱯᱮ ᱪᱟᱥᱟ ᱥᱮ ᱵᱟᱝᱟ
bench/clips/public/sat/indicvoices-sat_00329_4785074604193056_chunk_9.wav,sat,sat-to-hi,8.81,False,2537.3,1350.0,847.0,325.0,2523.0,model,piper,187948,,0.037,0.062,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱟᱨ,ᱠᱩᱲᱤ ᱴᱟᱠᱟ ᱥᱚ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱠᱩ ᱠᱚ ᱱᱟᱱᱟ ᱨᱚᱠᱚᱢ ᱟᱹᱰᱤ ᱨᱚᱠᱚᱢ ᱞᱮ ᱟᱹᱠᱷᱨᱤᱧᱮᱫ ᱠᱚᱣᱟ
