clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/hi/fleurs-hi_00000_1766.wav,hi,hi-to-sat,9.12,True,6153.5,3173.0,1146.0,1684.0,6003.0,model,piper,407084,,0.026,0.042,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है
bench/clips/public/hi/fleurs-hi_00015_1992.wav,hi,hi-to-sat,8.88,False,2669.7,1385.0,805.0,464.0,2655.0,model,piper,260140,,0.0,0.0,विशेष रूप से सवाना पर बेहतरीन अफ़्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफ़ारी शब्द का उपयोग किया जाता है,विशेष रूप से सवाना पर बेहतरीन अफ्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफारी शब्द का उपयोग किया जाता है
bench/clips/public/hi/fleurs-hi_00026_1957.wav,hi,hi-to-sat,4.08,False,1705.9,617.0,760.0,300.0,1677.0,model,piper,160812,,0.333,0.5,उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा,उन्होंने नक को राजनीतिक बकसर मुखतापना कहा
bench/clips/public/hi/fleurs-hi_00027_1802.wav,hi,hi-to-sat,5.46,False,1743.2,632.0,641.0,455.0,1728.0,model,piper,202796,,0.0,0.0,इंटरनेट लोगों और अंतर-परस्पर संचार दोनों के तत्वों को मिलाता है,इंटरनेट लोगों और अंतर परस्पर संचार दोनों के तत्वों को मिलाता है
bench/clips/public/hi/fleurs-hi_00033_1910.wav,hi,hi-to-sat,7.02,False,1754.9,657.0,704.0,376.0,1737.0,model,piper,224300,,0.014,0.071,ऐसा माना जाता है कि पेरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं,ऐसा माना जाता है कि पैरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं
bench/clips/public/hi/fleurs-hi_00034_1721.wav,hi,hi-to-sat,8.22,False,2742.9,783.0,1277.0,669.0,2730.0,model,piper,629292,,0.278,0.368,1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,एक हज़ार नौ सौ तिरसठ में बादध बनने के बाद मौसमी बाढ़ जो पूरे नदी में थलचट फैला देगी वह रुक गई थी
bench/clips/public/hi/fleurs-hi_00050_1958.wav,hi,hi-to-sat,7.68,False,1968.9,681.0,841.0,433.0,1956.0,model,piper,401452,,0.0,0.0,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है
bench/clips/public/hi/fleurs-hi_00053_1966.wav,hi,hi-to-sat,9.66,False,2044.2,769.0,771.0,491.0,2032.0,model,piper,438828,,0.009,0.053,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मारटेली की प्रतिक्रिया स्वरूप हुआ था
bench/clips/public/hi/fleurs-hi_00059_1772.wav,hi,hi-to-sat,6.36,False,1592.7,546.0,638.0,397.0,1580.0,model,piper,223276,,0.014,0.056,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ़ एक लेबल के रूप में जोड़ा गया था,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ एक लेवल के रूप में जोड़ा गया था
bench/clips/public/hi/fleurs-hi_00060_1803.wav,hi,hi-to-sat,9.72,False,2084.3,801.0,898.0,370.0,2070.0,model,piper,316460,,0.0,0.0,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी
bench/clips/public/hi/fleurs-hi_00064_1844.wav,hi,hi-to-sat,6.24,False,2102.8,648.0,983.0,457.0,2088.0,model,piper,328236,,0.054,0.118,चांद की सतह चट्टानों और धूल से बनी है चांद की बाहरी परत को क्रस्ट कहते हैं,चाँंद की सतह चट्टानों और धूल से बनी है चाँद की बाहरी परत को कृष्ट कहते हैं
bench/clips/public/hi/fleurs-hi_00067_1974.wav,hi,hi-to-sat,5.82,False,1746.9,634.0,644.0,455.0,1733.0,model,piper,219692,,0.015,0.077,इसी तरह पुरुषों के लिए घुटनों को ढंकने वाले ट्राउज़र पहनना ज़रूरी है,इसी तरह पुरुषों के लिए घुटनों को ढकने वाले ट्राउजर पहनना ज़रूरी है
bench/clips/public/hi/fleurs-hi_00075_1993.wav,hi,hi-to-sat,9.78,False,2228.1,799.0,1011.0,403.0,2213.0,model,piper,352812,,0.033,0.133,अटलांटिक तूफ़ान मौसम का दसवां तूफ़ान उपोष्णकटिबंधीय तूफ़ान जेरी आज अटलांटिक महासागर में बना है,अटलांटिक तूफान मौसम का दसवां तूफान उपोष्ण कटिबंधित तूफान जेरी आज अटलांटिक महासागर में बना है
bench/clips/public/hi/fleurs-hi_00102_1998.wav,hi,hi-to-sat,8.58,False,2020.5,642.0,929.0,434.0,2005.0,model,piper,357420,,0.009,0.038,उनके पैरों में पपड़ियां और पंजे हैं वे अंडे देते हैं और वे किसी टी-रेक्स की तरह अपने दो पीछे वाले पैरों पर चलते हैं,उनके पैरों में पपड़ियाँ और पंजे हैं वे अंडे देते हैं और वे किसी टी रैक्स की तरह अपने दो पीछे वाले पैरों पर चलते हैं
bench/clips/public/hi/fleurs-hi_00114_1741.wav,hi,hi-to-sat,7.62,False,1827.0,711.0,740.0,362.0,1813.0,model,piper,284716,,0.069,0.13,उत्तर की ओर के बड़े क्षेत्र में आबादी बहुत ही कम है और कुछ इलाकों में तो लगभग कोई इंसानी आबादी नहीं है,उत्तर की ओर के बड़े क्षेत्र में आबादी बहुत ही कम है और कुछ इलाकों में तो लगभग कोई इंसानी आबादी है ही नहीं
bench/clips/public/hi/fleurs-hi_00122_1747.wav,hi,hi-to-sat,4.74,False,1594.6,592.0,754.0,234.0,1580.0,model,piper,159276,,0.024,0.125,लूना को साथी पहलवानों ने भी श्रद्धांजलि दी,लोना को साथी पहलवानों ने भी श्रद्धांजलि दी
bench/clips/public/hi/fleurs-hi_00126_1988.wav,hi,hi-to-sat,9.9,False,1973.7,889.0,700.0,369.0,1958.0,model,piper,219180,,0.167,0.118,1920 के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था,नाइनटीन ट्वेंटी के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था
