clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,reference,recognized
bench/clips/synthetic/hi/hi_01.webm,hi,hi-to-sat,4.05,True,2454.9,963.0,1176.0,242.0,2380.0,model,piper,130092,,0.0,आज हम एक से दस तक गिनना सीखेंगे।,आज हम एक से दस तक गिनना सीखेंगे
bench/clips/synthetic/hi/hi_02.webm,hi,hi-to-sat,4.04,False,2381.2,1166.0,1038.0,166.0,2371.0,model,piper,127020,,0.0,अपनी उंगलियां दिखाओ और मेरे साथ गिनो।,अपनी उंगलियाँ दिखाओ और मेरे साथ गिनो
bench/clips/synthetic/hi/hi_03.webm,hi,hi-to-sat,4.58,False,2864.6,1648.0,979.0,228.0,2855.0,model,piper,190508,,0.044,अब तुम्हारे सामने पांच पत्थर हैं। उन्हें गिनो।,अब तुम्हारे सामने पांच पत्थर हैं उन्हें गिना
bench/clips/synthetic/hi/hi_04.webm,hi,hi-to-sat,3.64,False,2125.9,769.0,1185.0,160.0,2114.0,model,piper,116268,,0.038,यहाँ कितने पत्थर हैं? बताओ।,यहाँ कितने पत्थर हैं बताओ
bench/clips/synthetic/hi/hi_05.webm,hi,hi-to-sat,3.95,False,2410.3,1018.0,1185.0,196.0,2399.0,model,piper,157740,,0.04,यह गोल है। यह एक वृत्त है।,यह गोल है यह एक वृत्त है
bench/clips/synthetic/hi/hi_06.webm,hi,hi-to-sat,4.12,False,2606.2,1059.0,1298.0,239.0,2596.0,model,piper,192044,,0.033,यह चौकोर है। इसके चार कोने हैं।,यह चौकोर है इसके चार कोने हैं
bench/clips/synthetic/hi/hi_07.webm,hi,hi-to-sat,3.68,False,2221.0,836.0,1237.0,139.0,2212.0,model,piper,107052,,0.038,अपने आसपास गोल चीज़ें ढूंढो।,अपने आसपास गोद चीजें ढूंढो
bench/clips/synthetic/hi/hi_08.webm,hi,hi-to-sat,2.82,False,2087.8,1035.0,847.0,195.0,2077.0,model,piper,66604,,0.0,यह कौन सा आकार है?,यह कौन सा आकार है
bench/clips/synthetic/hi/hi_09.webm,hi,hi-to-sat,4.66,False,2687.6,1342.0,1160.0,176.0,2678.0,model,piper,142892,,0.057,आज हम जोड़ना सीखेंगे। एक और एक मिलाओ।,आज हम जोड़ना सीखेंगे एक और एक मिलाव
bench/clips/synthetic/hi/hi_10.webm,hi,hi-to-sat,4.2,False,2500.7,1094.0,1218.0,179.0,2491.0,model,piper,143916,,0.028,दो आम और तीन आम मिलाओ। कुल कितने हुए?,दो आम और तीन आम मिलाओ कुल कितने हुए
bench/clips/synthetic/hi/hi_11.webm,hi,hi-to-sat,3.63,False,2599.8,1186.0,1209.0,195.0,2590.0,model,piper,152108,,0.0,अब तुम एक जोड़ का सवाल बनाओ।,अब तुम एक जोड़ का सवाल बनाओ
bench/clips/synthetic/hi/hi_12.webm,hi,hi-to-sat,3.13,False,2081.7,832.0,1039.0,202.0,2072.0,model,piper,87596,,0.0,तीन और चार कितने होते हैं?,तीन और चार कितने होते हैं
bench/clips/synthetic/hi/hi_13.webm,hi,hi-to-sat,3.65,False,2544.6,1059.0,1297.0,178.0,2534.0,model,piper,127532,,0.043,यह शब्द है माँ। इसे पढ़ो।,यह शब्द है मां इसे पढ़ो
bench/clips/synthetic/hi/hi_14.webm,hi,hi-to-sat,3.34,False,2193.5,892.0,1140.0,152.0,2184.0,model,piper,101932,,0.0,इस शब्द को तीन बार पढ़ो।,इस शब्द को तीन बार पढ़ो
bench/clips/synthetic/hi/hi_15.webm,hi,hi-to-sat,3.56,False,2318.7,859.0,1269.0,181.0,2309.0,model,piper,136236,,0.038,यह शब्द क्या है? पढ़कर बताओ।,यह शब्द क्या है पढ़कर बताओ
bench/clips/synthetic/hi/hi_16.webm,hi,hi-to-sat,4.74,False,2571.3,1068.0,1298.0,195.0,2561.0,model,piper,149036,,0.026,आज हम घटाना सीखेंगे। दस में से तीन घटाओ।,आज हम घटाना सीखेंगे दस में से तीन घटाओ
bench/clips/synthetic/hi/hi_17.webm,hi,hi-to-sat,4.87,False,3057.5,1495.0,1286.0,266.0,3047.0,model,piper,226860,,0.053,सात पत्थर लो। तीन हटा दो। अब कितने बचे?,सात पत्थर लो तीन हटा दो अब कितने बचे
bench/clips/synthetic/hi/hi_18.webm,hi,hi-to-sat,3.94,False,2306.3,874.0,1247.0,175.0,2296.0,model,piper,140332,,0.029,आठ में से पांच घटाओ। उत्तर क्या है?,आठ में से पांच घटाओ उत्तर क्या है
bench/clips/synthetic/hi/hi_19.webm,hi,hi-to-sat,2.71,False,1984.3,880.0,939.0,156.0,1974.0,model,piper,63020,,0.2,सुप्रभात बच्चों।,सुप्रभात बचो
bench/clips/synthetic/hi/hi_20.webm,hi,hi-to-sat,3.4,False,2090.1,806.0,1131.0,143.0,2080.0,model,piper,105516,,0.0,कृपया अपनी जगह पर बैठ जाओ।,कृपया अपनी जगह पर बैठ जाओ
bench/clips/synthetic/hi/hi_21.webm,hi,hi-to-sat,3.01,False,2070.2,844.0,1108.0,107.0,2060.0,model,piper,78892,,0.0,मेरी बात ध्यान से सुनो।,मेरी बात ध्यान से सुनो
bench/clips/synthetic/hi/hi_22.webm,hi,hi-to-sat,2.49,False,1903.8,843.0,939.0,111.0,1893.0,model,piper,49708,,0.1,शोर मत करो।,शूर मत करो
bench/clips/synthetic/hi/hi_23.webm,hi,hi-to-sat,2.97,False,2015.7,727.0,1065.0,213.0,2005.0,model,piper,88108,,0.0,अपना हाथ उठाओ।,अपना हाथ उठाओ
bench/clips/synthetic/hi/hi_24.webm,hi,hi-to-sat,3.3,False,2040.2,812.0,896.0,322.0,2031.0,model,piper,67628,,0.059,"बहुत अच्छा, शाबाश!",बहुत अच्छा शाबाश
bench/clips/synthetic/hi/hi_25.webm,hi,hi-to-sat,2.74,False,2183.1,1151.0,896.0,125.0,2172.0,model,piper,85036,,0.0,बोर्ड पर आकर लिखो।,बोर्ड पर आकर लिखो
bench/clips/synthetic/hi/hi_26.webm,hi,hi-to-sat,3.49,False,2165.3,1122.0,890.0,144.0,2156.0,model,piper,107052,,0.0,तुम्हारा जवाब बिल्कुल सही है।,तुम्हारा जवाब बिल्कुल सही है
